,Amplitude
0,-1.138111114E+002
1,-1.141021270E+002
2,-1.080114135E+002
3,-1.039045028E+002
4,-1.106471176E+002
5,-1.095267944E+002
6,-1.102629776E+002
7,-1.103328247E+002
8,-1.090011825E+002
9,-1.038674774E+002
10,-1.110764770E+002
11,-1.066442489E+002
12,-1.165908355E+002
13,-1.048804550E+002
14,-1.068294677E+002
15,-1.047375869E+002
16,-1.114549331E+002
17,-1.084255142E+002
18,-1.049672088E+002
19,-1.108903961E+002
20,-1.102488021E+002
21,-1.087770385E+002
22,-1.110339736E+002
23,-1.087499237E+002
24,-1.094097671E+002
25,-1.067154312E+002
26,-1.118142318E+002
27,-1.071128997E+002
28,-1.062947769E+002
29,-1.083064956E+002
30,-1.056727066E+002
31,-1.064832000E+002
32,-1.079045410E+002
33,-1.082604827E+002
34,-1.143514556E+002
35,-1.063990936E+002
36,-1.126755142E+002
37,-1.070749664E+002
38,-1.095974960E+002
39,-1.061956329E+002
40,-1.110095672E+002
41,-1.076167831E+002
42,-1.083333969E+002
43,-1.092431182E+002
44,-1.096301269E+002
45,-1.081103057E+002
46,-1.096965789E+002
47,-1.068676147E+002
48,-1.068491592E+002
49,-1.075753631E+002
50,-1.059598770E+002
51,-1.112279434E+002
52,-1.083240203E+002
53,-1.079302520E+002
54,-1.058227539E+002
55,-1.068454208E+002
56,-1.060663070E+002
57,-1.033660507E+002
58,-1.064807739E+002
59,-1.062416992E+002
60,-1.115748062E+002
61,-1.049690551E+002
62,-1.072210693E+002
63,-1.096169052E+002
64,-1.077220916E+002
65,-1.079409942E+002
66,-1.030695343E+002
67,-1.071067657E+002
68,-1.085244751E+002
69,-1.055713729E+002
70,-1.042574462E+002
71,-1.081783676E+002
72,-1.065263443E+002
73,-1.066068878E+002
74,-1.074255523E+002
75,-1.100861663E+002
76,-1.051497345E+002
77,-1.065490722E+002
78,-1.055615844E+002
79,-1.083361587E+002
80,-1.077938232E+002
81,-1.094541854E+002
82,-1.081796875E+002
83,-1.074414520E+002
84,-1.061699600E+002
85,-1.051304550E+002
86,-1.099061737E+002
87,-1.054126968E+002
88,-1.085329742E+002
89,-1.074968414E+002
90,-1.076731185E+002
91,-1.109546890E+002
92,-1.074814224E+002
93,-1.083914337E+002
94,-1.083983764E+002
95,-1.054008331E+002
96,-1.088343887E+002
97,-1.095555267E+002
98,-1.063827514E+002
99,-1.099550933E+002
100,-1.069406509E+002
