,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-6.104124039E+01,-3.772889515E+00,11520000000.0,-6.121589859E+01,9.019172236E+00,11540000000.0,-6.019502275E+01,-1.271803470E+02,11560000000.0,-5.878994363E+01,-4.275400230E+01,11580000000.0,-6.003873445E+01,7.726295687E+01,11600000000.0,-5.859036864E+01,1.463239568E+02,11620000000.0,-5.859616839E+01,-1.147785397E+02,11640000000.0,-5.967088685E+01,1.217441466E+01,11660000000.0,-5.877120952E+01,1.176562250E+02,11680000000.0,-5.529704125E+01,-1.064632937E+02,11700000000.0,"-6.162574272E+01
","5.916925253E+00
"
1,11500000000.0,-6.264763989E+01,8.145621095E+01,11520000000.0,-6.286117041E+01,1.492669941E+02,11540000000.0,-6.026598049E+01,-5.263599613E+01,11560000000.0,-5.997180735E+01,-3.273480727E+01,11580000000.0,-6.284355828E+01,1.021205078E+02,11600000000.0,-6.023333866E+01,-1.101453639E+02,11620000000.0,-6.465507579E+01,-4.987085313E+01,11640000000.0,-6.118721051E+01,1.144316171E+02,11660000000.0,-5.948791701E+01,-1.523104340E+02,11680000000.0,-5.841473590E+01,-3.759159976E+00,11700000000.0,"-5.979051402E+01
","1.204978889E+02
"
2,11500000000.0,-5.916750209E+01,-7.337163523E+01,11520000000.0,-5.930687373E+01,1.367570674E+01,11540000000.0,-5.996474479E+01,1.484373026E+02,11560000000.0,-6.165268256E+01,-3.605602669E+01,11580000000.0,-7.080515894E+01,8.628921929E+01,11600000000.0,-6.020210206E+01,9.802540632E+01,11620000000.0,-7.535978612E+01,1.165505221E+02,11640000000.0,-6.435706498E+01,-1.551140281E+01,11660000000.0,-6.052509472E+01,-1.957870355E+01,11680000000.0,-6.842133421E+01,1.699803043E+02,11700000000.0,"-6.386793505E+01
","-1.482790349E+02
"
3,11500000000.0,-6.070140526E+01,-2.663474893E+01,11520000000.0,-6.425586196E+01,1.207996298E+02,11540000000.0,-6.341027242E+01,-1.166402171E+02,11560000000.0,-5.883020375E+01,8.849942064E+00,11580000000.0,-6.184520845E+01,1.239736776E+02,11600000000.0,-5.679951638E+01,-1.240147815E+02,11620000000.0,-6.084907067E+01,-3.924998187E+01,11640000000.0,-6.858588399E+01,4.294681745E+01,11660000000.0,-6.639722058E+01,1.610716135E+02,11680000000.0,-6.048646291E+01,5.142403448E+01,11700000000.0,"-6.028139790E+01
","-1.653880035E+02
"
4,11500000000.0,-5.905275569E+01,-7.981389185E+01,11520000000.0,-6.781259980E+01,-1.722523705E+02,11540000000.0,-6.221818759E+01,-5.479352490E+01,11560000000.0,-6.376901433E+01,9.719456400E+01,11580000000.0,-6.442591537E+01,-1.377378883E+02,11600000000.0,-6.208558599E+01,3.288950481E+01,11620000000.0,-5.851586698E+01,1.273169868E+02,11640000000.0,-6.320753044E+01,-1.085104513E+02,11660000000.0,-6.978650607E+01,4.502916297E+01,11680000000.0,-6.251972473E+01,9.637174305E+01,11700000000.0,"-6.639367052E+01
","1.378085199E+02
"
5,11500000000.0,-6.922540697E+01,1.149752336E+02,11520000000.0,-6.469280943E+01,1.501116466E+02,11540000000.0,-7.132015689E+01,-9.141772884E+01,11560000000.0,-6.613057602E+01,-7.519561722E+00,11580000000.0,-6.782004020E+01,6.998454683E+01,11600000000.0,-5.769222212E+01,1.653805016E+02,11620000000.0,-6.130344717E+01,-5.829456075E+01,11640000000.0,-6.210519047E+01,9.280165220E+01,11660000000.0,-7.735290336E+01,-1.776564449E+02,11680000000.0,-5.958765579E+01,-6.756976665E+01,11700000000.0,"-6.444640721E+01
","7.271819186E+01
"
6,11500000000.0,-6.039015526E+01,-8.254164721E+01,11520000000.0,-6.856133841E+01,8.509217055E+01,11540000000.0,-6.556149742E+01,-8.133850183E+01,11560000000.0,-5.742592645E+01,5.940806626E+01,11580000000.0,-5.786745075E+01,-1.731551611E+02,11600000000.0,-5.611641853E+01,-1.628313577E+01,11620000000.0,-5.631255169E+01,1.127091935E+02,11640000000.0,-5.740662597E+01,-9.998584387E+01,11660000000.0,-6.291769887E+01,4.718750004E+01,11680000000.0,-6.392724237E+01,1.156843779E+02,11700000000.0,"-6.188991234E+01
","-8.019090195E+01
"
7,11500000000.0,-6.290384325E+01,1.854446268E+01,11520000000.0,-7.259255820E+01,1.427027791E+02,11540000000.0,-6.120689424E+01,1.357500576E+02,11560000000.0,-6.669373903E+01,-1.408131588E+02,11580000000.0,-6.724095044E+01,6.714901543E+01,11600000000.0,-6.149252916E+01,1.299923307E+02,11620000000.0,-5.709618491E+01,-8.419553503E+01,11640000000.0,-6.051187578E+01,-4.633092174E+01,11660000000.0,-6.049861825E+01,1.013596052E+02,11680000000.0,-5.764858783E+01,-1.243311095E+02,11700000000.0,"-7.383432035E+01
","-4.603877753E+00
"
8,11500000000.0,-6.218365368E+01,1.320290397E+02,11520000000.0,-5.879701928E+01,-1.106481397E+02,11540000000.0,-8.705620108E+01,1.216929481E+02,11560000000.0,-6.036618558E+01,2.325086732E+01,11580000000.0,-6.089343873E+01,1.622192053E+02,11600000000.0,-5.563519825E+01,-3.721436602E+01,11620000000.0,-6.104977128E+01,5.877167953E+01,11640000000.0,-6.368658824E+01,-1.755558423E+02,11660000000.0,-6.328967626E+01,-6.819566160E+01,11680000000.0,-6.909199811E+01,3.186122590E+01,11700000000.0,"-6.782350194E+01
","-1.409826747E+02
"
9,11500000000.0,-6.608417005E+01,-1.377014888E+02,11520000000.0,-5.896613266E+01,2.295603042E+01,11540000000.0,-6.250923519E+01,1.465885640E+02,11560000000.0,-6.307113902E+01,-1.418429471E+02,11580000000.0,-6.078557217E+01,1.559817681E+01,11600000000.0,-6.824536273E+01,6.317383141E+01,11620000000.0,-5.823699043E+01,1.555456016E+02,11640000000.0,-5.541345836E+01,-6.423256325E+01,11660000000.0,-5.736378633E+01,8.340689909E+01,11680000000.0,-6.127024135E+01,1.501592792E+02,11700000000.0,"-6.061498653E+01
","-7.359446059E+01
"
10,11500000000.0,-6.213509762E+01,7.198204412E+01,11520000000.0,-6.284546260E+01,5.689611454E+01,11540000000.0,-6.105914564E+01,-1.398030153E+02,11560000000.0,-5.702955617E+01,-4.022051037E+00,11580000000.0,-5.951576083E+01,1.028545188E+02,11600000000.0,-5.672563111E+01,-1.166407963E+02,11620000000.0,-5.416406954E+01,-2.624129196E+01,11640000000.0,-5.539530699E+01,1.107791391E+02,11660000000.0,-5.335442193E+01,-1.420075969E+02,11680000000.0,-5.738695860E+01,-3.896055572E+01,11700000000.0,"-5.615109057E+01
","1.268396291E+02
"
11,11500000000.0,-6.810745436E+01,6.639389983E+01,11520000000.0,-6.399367567E+01,-1.435581528E+02,11540000000.0,-6.106070071E+01,-6.057253363E+01,11560000000.0,-6.834344464E+01,6.294863486E+01,11580000000.0,-5.751340537E+01,1.758316438E+02,11600000000.0,-5.648954595E+01,-4.531350840E+01,11620000000.0,-5.517557577E+01,6.542636037E+01,11640000000.0,-5.187374797E+01,-1.638796888E+02,11660000000.0,-5.333566767E+01,-2.171993307E+01,11680000000.0,-5.590581094E+01,1.264667665E+02,11700000000.0,"-5.279779341E+01
","-1.047507568E+02
"
12,11500000000.0,-6.233711905E+01,1.011468405E+02,11520000000.0,-6.279874723E+01,-8.489373733E+01,11540000000.0,-7.734695754E+01,9.005902053E+01,11560000000.0,-6.674201814E+01,-1.665758426E+02,11580000000.0,-5.593299076E+01,-8.458605166E+01,11600000000.0,-6.556786427E+01,1.365462653E+01,11620000000.0,-5.685935857E+01,1.418951012E+02,11640000000.0,-5.712620665E+01,-6.314205711E+01,11660000000.0,-5.799853858E+01,4.600478859E+01,11680000000.0,-6.213903402E+01,-1.567253414E+02,11700000000.0,"-5.899402247E+01
","-3.639248439E+01
"
13,11500000000.0,-5.881709459E+01,1.612078413E+02,11520000000.0,-5.806653395E+01,-6.093577610E+01,11540000000.0,-5.894119287E+01,9.505918312E+01,11560000000.0,-6.048369204E+01,-1.430851806E+02,11580000000.0,-7.650189429E+01,1.764902060E+01,11600000000.0,-6.617052976E+01,2.708636195E+01,11620000000.0,-7.828771548E+01,8.899280090E+01,11640000000.0,-6.847904478E+01,-5.856016495E+01,11660000000.0,-6.383382651E+01,-3.123036820E+01,11680000000.0,-6.896638914E+01,1.186923747E+02,11700000000.0,"-6.437698088E+01
","-6.293507591E+01
"
14,11500000000.0,-5.826701967E+01,-9.563424590E+01,11520000000.0,-5.707095973E+01,1.717258085E+01,11540000000.0,-5.622563215E+01,1.398638403E+02,11560000000.0,-5.683497124E+01,-9.380443228E+01,11580000000.0,-5.910329672E+01,1.631268910E+01,11600000000.0,-5.847341606E+01,5.431345851E+01,11620000000.0,-5.771786998E+01,-1.364947683E+02,11640000000.0,-5.767736310E+01,-4.384877246E+01,11660000000.0,-5.491615946E+01,8.984915563E+01,11680000000.0,-5.267693763E+01,-1.542219424E+02,11700000000.0,"-5.421442337E+01
","3.495481925E+00
"
