,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.918474610E+01,-2.946909328E+01,11520000000.0,-3.842693368E+01,9.174595086E+01,11540000000.0,-3.787398733E+01,-1.462642635E+02,11560000000.0,-3.747488928E+01,-2.270653664E+01,11580000000.0,-3.744206730E+01,9.499350036E+01,11600000000.0,-3.748599773E+01,-1.453592805E+02,11620000000.0,-3.826048235E+01,-2.405938462E+01,11640000000.0,-3.857256957E+01,9.729747255E+01,11660000000.0,-3.891583272E+01,-1.390159044E+02,11680000000.0,-3.905344533E+01,-1.497848700E+01,11700000000.0,"-4.012766447E+01
","1.116585888E+02
"
1,11500000000.0,-3.653058364E+01,-2.243313965E+01,11520000000.0,-3.566931248E+01,1.019271485E+02,11540000000.0,-3.480776111E+01,-1.346961541E+02,11560000000.0,-3.408206851E+01,-1.598092375E+01,11580000000.0,-3.367784849E+01,1.029072544E+02,11600000000.0,-3.417140754E+01,-1.403991910E+02,11620000000.0,-3.447343921E+01,-1.830871172E+01,11640000000.0,-3.481741481E+01,1.041717814E+02,11660000000.0,-3.552924997E+01,-1.318846056E+02,11680000000.0,-3.582671726E+01,-5.184150002E+00,11700000000.0,"-3.637402405E+01
","1.167508074E+02
"
2,11500000000.0,-3.517559773E+01,-2.311241908E+01,11520000000.0,-3.428369279E+01,9.913559357E+01,11540000000.0,-3.342320189E+01,-1.384220926E+02,11560000000.0,-3.282216302E+01,-1.781606918E+01,11580000000.0,-3.225421591E+01,1.006061136E+02,11600000000.0,-3.290280420E+01,-1.402760733E+02,11620000000.0,-3.331492945E+01,-1.922860731E+01,11640000000.0,-3.402069651E+01,1.041002292E+02,11660000000.0,-3.475231101E+01,-1.311568679E+02,11680000000.0,-3.503753300E+01,-3.679958727E+00,11700000000.0,"-3.557917960E+01
","1.214500350E+02
"
3,11500000000.0,-3.399983046E+01,-3.286767136E+01,11520000000.0,-3.315309334E+01,8.927676534E+01,11540000000.0,-3.239532814E+01,-1.478305825E+02,11560000000.0,-3.189645287E+01,-2.882290184E+01,11580000000.0,-3.144852382E+01,9.002691584E+01,11600000000.0,-3.169960244E+01,-1.502219936E+02,11620000000.0,-3.200149715E+01,-2.931078558E+01,11640000000.0,-3.246182159E+01,9.509689083E+01,11660000000.0,-3.301420775E+01,-1.400605753E+02,11680000000.0,-3.334271651E+01,-1.686720090E+01,11700000000.0,"-3.376607543E+01
","1.082342704E+02
"
4,11500000000.0,-3.467513130E+01,-4.151826481E+01,11520000000.0,-3.374782251E+01,8.464223435E+01,11540000000.0,-3.297593508E+01,-1.544837131E+02,11560000000.0,-3.241366809E+01,-3.356239407E+01,11580000000.0,-3.221841546E+01,8.621843233E+01,11600000000.0,-3.225596370E+01,-1.568119148E+02,11620000000.0,-3.283001850E+01,-3.297344074E+01,11640000000.0,-3.355019650E+01,8.807176781E+01,11660000000.0,-3.374943622E+01,-1.450235736E+02,11680000000.0,-3.408670196E+01,-2.130186559E+01,11700000000.0,"-3.471146626E+01
","1.060800639E+02
"
5,11500000000.0,-3.553834662E+01,-3.415108979E+01,11520000000.0,-3.460753028E+01,8.799942481E+01,11540000000.0,-3.375263166E+01,-1.486232060E+02,11560000000.0,-3.326583849E+01,-2.933977041E+01,11580000000.0,-3.281490412E+01,8.797665890E+01,11600000000.0,-3.314274002E+01,-1.538481624E+02,11620000000.0,-3.361100613E+01,-3.203342974E+01,11640000000.0,-3.429089704E+01,9.061572327E+01,11660000000.0,-3.468385504E+01,-1.431377832E+02,11680000000.0,-3.545203095E+01,-1.732922324E+01,11700000000.0,"-3.494889388E+01
","1.118509149E+02
"
6,11500000000.0,-3.482286087E+01,-2.219628080E+01,11520000000.0,-3.378794501E+01,1.029006215E+02,11540000000.0,-3.303501016E+01,-1.354961956E+02,11560000000.0,-3.235040226E+01,-1.672661875E+01,11580000000.0,-3.185121756E+01,1.013900485E+02,11600000000.0,-3.203949844E+01,-1.407657519E+02,11620000000.0,-3.280180081E+01,-1.825005307E+01,11640000000.0,-3.348798217E+01,1.056899795E+02,11660000000.0,-3.382819310E+01,-1.295413798E+02,11680000000.0,-3.410860452E+01,-2.242639385E+00,11700000000.0,"-3.489673589E+01
","1.219990063E+02
"
7,11500000000.0,-3.519200578E+01,-2.990685455E+01,11520000000.0,-3.459150457E+01,9.507506332E+01,11540000000.0,-3.398966144E+01,-1.426982089E+02,11560000000.0,-3.322177348E+01,-2.422823748E+01,11580000000.0,-3.299327713E+01,9.417809536E+01,11600000000.0,-3.308489971E+01,-1.458767302E+02,11620000000.0,-3.380265218E+01,-2.641118349E+01,11640000000.0,-3.463984885E+01,9.722549142E+01,11660000000.0,-3.502460587E+01,-1.377423918E+02,11680000000.0,-3.510269298E+01,-1.431261354E+01,11700000000.0,"-3.550877481E+01
","1.151178413E+02
"
8,11500000000.0,-3.525078592E+01,-3.791385545E+01,11520000000.0,-3.450092468E+01,8.574474927E+01,11540000000.0,-3.370464035E+01,-1.522277439E+02,11560000000.0,-3.323543821E+01,-3.262545889E+01,11580000000.0,-3.256025448E+01,8.567908946E+01,11600000000.0,-3.284321725E+01,-1.559444911E+02,11620000000.0,-3.353909409E+01,-3.385619700E+01,11640000000.0,-3.415032389E+01,8.965847791E+01,11660000000.0,-3.474787201E+01,-1.442373781E+02,11680000000.0,-3.497619207E+01,-1.541329190E+01,11700000000.0,"-3.578577558E+01
","1.108745190E+02
"
9,11500000000.0,-3.464754033E+01,-2.377840103E+01,11520000000.0,-3.381276369E+01,9.925756078E+01,11540000000.0,-3.266581468E+01,-1.387610355E+02,11560000000.0,-3.216428408E+01,-1.774089234E+01,11580000000.0,-3.213402257E+01,9.993839187E+01,11600000000.0,-3.232467439E+01,-1.420628476E+02,11620000000.0,-3.274264287E+01,-2.228756415E+01,11640000000.0,-3.364217859E+01,9.874925213E+01,11660000000.0,-3.425696460E+01,-1.355524033E+02,11680000000.0,-3.492098096E+01,-9.605987446E+00,11700000000.0,"-3.521833804E+01
","1.176096248E+02
"
