,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.894175987E+01,-3.145766546E+01,11520000000.0,-3.811440755E+01,9.403854823E+01,11540000000.0,-3.780711163E+01,-1.462551104E+02,11560000000.0,-3.739616419E+01,-2.296190170E+01,11580000000.0,-3.731564872E+01,9.478884175E+01,11600000000.0,-3.746894311E+01,-1.461387264E+02,11620000000.0,-3.838908405E+01,-2.193251150E+01,11640000000.0,-3.884441402E+01,9.705455814E+01,11660000000.0,-3.932041605E+01,-1.382191871E+02,11680000000.0,-3.927122043E+01,-1.586052904E+01,11700000000.0,"-4.019220370E+01
","1.081657389E+02
"
1,11500000000.0,-3.638181990E+01,-1.854310944E+01,11520000000.0,-3.554134844E+01,1.042281818E+02,11540000000.0,-3.471010191E+01,-1.343580200E+02,11560000000.0,-3.415597869E+01,-1.422695373E+01,11580000000.0,-3.388441726E+01,1.037367716E+02,11600000000.0,-3.400812608E+01,-1.372060123E+02,11620000000.0,-3.424646895E+01,-1.657023541E+01,11640000000.0,-3.468420008E+01,1.051891589E+02,11660000000.0,-3.554804253E+01,-1.293608341E+02,11680000000.0,-3.579484181E+01,-4.300312373E+00,11700000000.0,"-3.637406444E+01
","1.210478732E+02
"
2,11500000000.0,-3.491236036E+01,-2.314662990E+01,11520000000.0,-3.397898217E+01,1.003598330E+02,11540000000.0,-3.322774511E+01,-1.376873899E+02,11560000000.0,-3.277520450E+01,-1.678846116E+01,11580000000.0,-3.213796674E+01,1.017179419E+02,11600000000.0,-3.251211271E+01,-1.406812106E+02,11620000000.0,-3.363731547E+01,-1.788298615E+01,11640000000.0,-3.395095370E+01,1.046312029E+02,11660000000.0,-3.453107274E+01,-1.295203011E+02,11680000000.0,-3.495646255E+01,-5.298329585E+00,11700000000.0,"-3.542707098E+01
","1.221123208E+02
"
3,11500000000.0,-3.370106558E+01,-3.631217559E+01,11520000000.0,-3.308368262E+01,9.073669678E+01,11540000000.0,-3.248384212E+01,-1.492335890E+02,11560000000.0,-3.169297086E+01,-2.828098606E+01,11580000000.0,-3.143146639E+01,9.119978426E+01,11600000000.0,-3.165286529E+01,-1.504166342E+02,11620000000.0,-3.204355697E+01,-2.996294505E+01,11640000000.0,-3.249593312E+01,9.385855318E+01,11660000000.0,-3.293642602E+01,-1.416154676E+02,11680000000.0,-3.350231208E+01,-1.673880452E+01,11700000000.0,"-3.362293242E+01
","1.102536807E+02
"
4,11500000000.0,-3.454635684E+01,-4.028220892E+01,11520000000.0,-3.390302156E+01,8.527813687E+01,11540000000.0,-3.297758539E+01,-1.528777376E+02,11560000000.0,-3.219761983E+01,-3.298326875E+01,11580000000.0,-3.193548616E+01,8.501047771E+01,11600000000.0,-3.200528689E+01,-1.547678533E+02,11620000000.0,-3.277757107E+01,-3.413771982E+01,11640000000.0,-3.334811737E+01,8.968020905E+01,11660000000.0,-3.399357249E+01,-1.465492720E+02,11680000000.0,-3.440212025E+01,-2.136974305E+01,11700000000.0,"-3.480553357E+01
","1.027208211E+02
"
5,11500000000.0,-3.562659347E+01,-3.668635890E+01,11520000000.0,-3.453711732E+01,8.853881230E+01,11540000000.0,-3.428005315E+01,-1.492315448E+02,11560000000.0,-3.331148508E+01,-3.108143188E+01,11580000000.0,-3.294240121E+01,8.797230997E+01,11600000000.0,-3.331095963E+01,-1.531381188E+02,11620000000.0,-3.393554444E+01,-3.204990272E+01,11640000000.0,-3.445206461E+01,9.155939959E+01,11660000000.0,-3.462468278E+01,-1.447470968E+02,11680000000.0,-3.507241327E+01,-1.930240641E+01,11700000000.0,"-3.563056664E+01
","1.091783159E+02
"
6,11500000000.0,-3.512523818E+01,-2.157754795E+01,11520000000.0,-3.382010093E+01,1.036626321E+02,11540000000.0,-3.299643772E+01,-1.362356504E+02,11560000000.0,-3.225689609E+01,-1.501610526E+01,11580000000.0,-3.197149523E+01,1.023307062E+02,11600000000.0,-3.206698260E+01,-1.388317586E+02,11620000000.0,-3.270828869E+01,-1.845822772E+01,11640000000.0,-3.307309645E+01,1.063120772E+02,11660000000.0,-3.419369114E+01,-1.284851673E+02,11680000000.0,-3.442753024E+01,-5.578340218E+00,11700000000.0,"-3.487127231E+01
","1.209316316E+02
"
7,11500000000.0,-7.591672321E+01,-2.937761223E+01,11520000000.0,-7.723766962E+01,9.472338242E+01,11540000000.0,-6.679402217E+01,-1.434726166E+02,11560000000.0,-6.363455994E+01,-2.306801561E+01,11580000000.0,-6.108698893E+01,9.532583249E+01,11600000000.0,-6.245996590E+01,-1.465199425E+02,11620000000.0,-6.621166476E+01,-2.608111773E+01,11640000000.0,-6.354877280E+01,9.672710964E+01,11660000000.0,-6.142614896E+01,-1.373150922E+02,11680000000.0,-7.090112377E+01,-1.087965638E+01,11700000000.0,"-5.837750330E+01
","1.149470132E+02
"
8,11500000000.0,-3.570615012E+01,-3.746195857E+01,11520000000.0,-3.474222467E+01,8.556558605E+01,11540000000.0,-3.367665464E+01,-1.520170112E+02,11560000000.0,-3.303730453E+01,-3.228067735E+01,11580000000.0,-3.254396599E+01,8.476288520E+01,11600000000.0,-3.282370969E+01,-1.550145195E+02,11620000000.0,-3.356550034E+01,-3.265680793E+01,11640000000.0,-3.408710937E+01,9.059002640E+01,11660000000.0,-3.459583498E+01,-1.461159104E+02,11680000000.0,-3.510454444E+01,-1.561145725E+01,11700000000.0,"-3.547210466E+01
","1.110084277E+02
"
9,11500000000.0,-3.465477381E+01,-2.314545031E+01,11520000000.0,-3.374955057E+01,1.004576483E+02,11540000000.0,-3.291890514E+01,-1.389128748E+02,11560000000.0,-3.216339687E+01,-1.976767663E+01,11580000000.0,-3.202829686E+01,9.761661568E+01,11600000000.0,-3.212943253E+01,-1.436430358E+02,11620000000.0,-3.297319651E+01,-2.368414991E+01,11640000000.0,-3.376960307E+01,9.977938618E+01,11660000000.0,-3.432805608E+01,-1.366546052E+02,11680000000.0,-3.490082777E+01,-9.275279005E+00,11700000000.0,"-3.517692606E+01
","1.163232390E+02
"
10,11500000000.0,-3.617030781E+01,-2.146298932E+01,11520000000.0,-3.557472485E+01,1.003856034E+02,11540000000.0,-3.465119032E+01,-1.366619279E+02,11560000000.0,-3.393986799E+01,-1.723918862E+01,11580000000.0,-3.350105063E+01,1.018926842E+02,11600000000.0,-3.352681712E+01,-1.410740662E+02,11620000000.0,-3.402595793E+01,-2.150660934E+01,11640000000.0,-3.442245438E+01,1.004626539E+02,11660000000.0,-3.520095416E+01,-1.317371107E+02,11680000000.0,-3.560515470E+01,-9.341184631E+00,11700000000.0,"-3.585904775E+01
","1.233942981E+02
"
11,11500000000.0,-3.642616035E+01,-2.023656352E+01,11520000000.0,-3.514745587E+01,1.034978927E+02,11540000000.0,-3.441516278E+01,-1.345352520E+02,11560000000.0,-3.344084291E+01,-1.482792718E+01,11580000000.0,-3.295295732E+01,1.030704326E+02,11600000000.0,-3.313268021E+01,-1.397276792E+02,11620000000.0,-3.385806718E+01,-1.694059442E+01,11640000000.0,-3.453392083E+01,1.054512920E+02,11660000000.0,-3.510325424E+01,-1.270632811E+02,11680000000.0,-3.582375399E+01,-7.717719973E+00,11700000000.0,"-3.609564616E+01
","1.223402958E+02
"
12,11500000000.0,-3.464473039E+01,-1.712356899E+01,11520000000.0,-3.409704311E+01,1.084987166E+02,11540000000.0,-3.322721805E+01,-1.286303577E+02,11560000000.0,-3.243379226E+01,-8.563199767E+00,11580000000.0,-3.230354095E+01,1.080688749E+02,11600000000.0,-3.257333021E+01,-1.344795886E+02,11620000000.0,-3.296458845E+01,-1.206411788E+01,11640000000.0,-3.359594361E+01,1.094432100E+02,11660000000.0,-3.358651681E+01,-1.252519478E+02,11680000000.0,-3.429554843E+01,1.308784560E+00,11700000000.0,"-3.389730971E+01
","1.254578075E+02
"
