,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-7.159445866E+01,1.359998315E+02,11520000000.0,-6.833061046E+01,-6.373925930E+01,11540000000.0,-6.280710816E+01,1.592900394E+02,11560000000.0,-6.822105364E+01,9.536639599E+01,11580000000.0,-6.120464887E+01,-6.807908726E+01,11600000000.0,-6.073975780E+01,5.528350279E+01,11620000000.0,-6.238707324E+01,-1.518470762E+02,11640000000.0,-6.519134950E+01,1.525680370E+01,11660000000.0,-6.102466631E+01,9.715719819E+01,11680000000.0,-6.348914980E+01,-1.177995205E+02,11700000000.0,"-5.755358851E+01
","8.041329461E+00
"
1,11500000000.0,-6.155443247E+01,9.675864738E+01,11520000000.0,-6.783667113E+01,-5.475341814E+01,11540000000.0,-7.325494968E+01,-1.094478589E+02,11560000000.0,-6.274871419E+01,-9.346453358E+01,11580000000.0,-6.159981563E+01,-1.778177844E+01,11600000000.0,-6.816824453E+01,1.019190200E+02,11620000000.0,-6.071709914E+01,-8.116079850E+01,11640000000.0,-6.437455650E+01,1.365590759E+01,11660000000.0,-6.431421092E+01,1.742849570E+02,11680000000.0,-5.777770430E+01,-6.122360879E+01,11700000000.0,"-6.436054495E+01
","5.075676610E+01
"
2,11500000000.0,-6.325378502E+01,1.753587520E+01,11520000000.0,-6.123517976E+01,3.280696048E+01,11540000000.0,-6.134699254E+01,-1.595958167E+02,11560000000.0,-5.841828538E+01,-5.865809254E+01,11580000000.0,-6.706108233E+01,1.073668035E+02,11600000000.0,-6.416823419E+01,1.660574954E+02,11620000000.0,-6.138635534E+01,-1.312654322E+01,11640000000.0,-7.385614687E+01,1.333913384E+02,11660000000.0,-7.901362278E+01,-1.757494092E+01,11680000000.0,-6.547795257E+01,1.212736089E+02,11700000000.0,"-6.395214461E+01
","-4.354832931E+01
"
3,11500000000.0,-5.690425668E+01,-9.111330512E+01,11520000000.0,-6.351582373E+01,9.531170038E+01,11540000000.0,-5.843488703E+01,-1.181819709E+02,11560000000.0,-5.921229678E+01,-1.211375897E+00,11580000000.0,-5.815817753E+01,1.766574319E+02,11600000000.0,-6.330311530E+01,-9.388359592E+01,11620000000.0,-6.481927875E+01,8.753090303E+01,11640000000.0,-6.447345048E+01,-1.776624147E+02,11660000000.0,-6.894120173E+01,-6.839529628E+01,11680000000.0,-6.730720887E+01,1.875428124E+00,11700000000.0,"-6.894667390E+01
","-1.322722236E+02
"
4,11500000000.0,-6.524892068E+01,1.379886776E+02,11520000000.0,-6.797909251E+01,-9.434317677E+01,11540000000.0,-7.475142939E+01,-3.374878015E+01,11560000000.0,-6.536993600E+01,1.193177253E+02,11580000000.0,-6.475199292E+01,-5.502667879E+01,11600000000.0,-6.329564016E+01,-1.454622228E+01,11620000000.0,-6.019790495E+01,-1.550908484E+02,11640000000.0,-5.488343391E+01,-7.309921739E+01,11660000000.0,-6.513465726E+01,3.318820134E+01,11680000000.0,-5.772614425E+01,-1.584434179E+02,11700000000.0,"-7.976587451E+01
","1.326071729E+00
"
5,11500000000.0,-6.627683469E+01,1.766190358E+02,11520000000.0,-6.271074620E+01,1.132318051E+02,11540000000.0,-6.380392864E+01,1.555723014E+02,11560000000.0,-5.974144394E+01,-7.203576388E+01,11580000000.0,-6.278716011E+01,4.388132767E+01,11600000000.0,-6.283484442E+01,1.320127873E+02,11620000000.0,-6.199684183E+01,-1.672888320E+01,11640000000.0,-7.521588874E+01,4.624439955E+01,11660000000.0,-9.803012482E+01,1.530483884E+02,11680000000.0,-6.364815671E+01,-9.123047912E+01,11700000000.0,"-6.341123225E+01
","8.099448512E+01
"
6,11500000000.0,-7.026589173E+01,-2.201184706E+00,11520000000.0,-7.017014252E+01,-6.750429853E+00,11540000000.0,-5.916355296E+01,-9.775228059E+01,11560000000.0,-6.147841587E+01,5.555717368E+01,11580000000.0,-6.196045534E+01,-1.696489200E+02,11600000000.0,-6.195589050E+01,-4.595408261E+01,11620000000.0,-5.530533110E+01,8.583042531E+01,11640000000.0,-5.950994653E+01,-1.372941650E+02,11660000000.0,-6.483801486E+01,-2.984813734E+01,11680000000.0,-6.352714417E+01,8.465693936E+01,11700000000.0,"-6.298466207E+01
","-1.700887177E+02
"
7,11500000000.0,-6.352882573E+01,-7.780139853E+01,11520000000.0,-6.141919385E+01,-8.915674817E+01,11540000000.0,-6.283021821E+01,2.490851984E+00,11560000000.0,-6.000727113E+01,-8.522598090E+01,11580000000.0,-6.680272591E+01,-8.399726961E+01,11600000000.0,-6.133079661E+01,9.839665984E+01,11620000000.0,-6.231538990E+01,-1.356370694E+02,11640000000.0,-6.466159385E+01,-3.999265599E+01,11660000000.0,-7.734275401E+01,1.353347348E+02,11680000000.0,-5.686617596E+01,-1.484707946E+02,11700000000.0,"-6.361504973E+01
","7.169745262E+01
"
8,11500000000.0,-6.382120717E+01,5.698640030E+01,11520000000.0,-5.817048963E+01,3.544023436E+01,11540000000.0,-6.317037989E+01,1.209533295E+02,11560000000.0,-6.917476313E+01,-1.137953445E+02,11580000000.0,-6.419588048E+01,3.328847903E+01,11600000000.0,-6.135695830E+01,-1.158893971E+02,11620000000.0,-6.199434894E+01,5.136689531E+01,11640000000.0,-5.955364682E+01,-1.533130699E+02,11660000000.0,-5.813889533E+01,7.579044294E+00,11680000000.0,-6.830920450E+01,-1.666902489E+02,11700000000.0,"-6.854403295E+01
","-1.224971032E+02
"
9,11500000000.0,-5.773998490E+01,-1.175435232E+02,11520000000.0,-6.523603203E+01,1.153585600E+02,11540000000.0,-5.742006847E+01,1.508493951E+02,11560000000.0,-6.005157726E+01,-1.245328955E+02,11580000000.0,-6.245106982E+01,3.290117916E+01,11600000000.0,-6.352784072E+01,1.050363838E+02,11620000000.0,-5.733380516E+01,-1.534229370E+02,11640000000.0,-5.804771731E+01,-3.201488821E+01,11660000000.0,-5.687996162E+01,1.165234392E+02,11680000000.0,-6.016096850E+01,-9.192935104E+01,11700000000.0,"-5.729235682E+01
","-2.862324047E+01
"
