,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.875766612E+01,-6.632030118E+01,11520000000.0,-3.865526519E+01,5.454592906E+01,11540000000.0,-3.826976030E+01,1.762116018E+02,11560000000.0,-3.781666620E+01,-6.477315392E+01,11580000000.0,-3.812356485E+01,5.176727057E+01,11600000000.0,-3.855405258E+01,1.701675891E+02,11620000000.0,-3.927126882E+01,-6.381798792E+01,11640000000.0,-3.951398167E+01,5.568743232E+01,11660000000.0,-3.966639797E+01,-1.759993032E+02,11680000000.0,-4.025618140E+01,-4.903143399E+01,11700000000.0,"-4.022812533E+01
","7.282435232E+01
"
1,11500000000.0,-3.622844525E+01,-5.037867258E+01,11520000000.0,-3.528760589E+01,7.346975077E+01,11540000000.0,-3.437046130E+01,-1.650180355E+02,11560000000.0,-3.407009488E+01,-4.934783910E+01,11580000000.0,-3.338545575E+01,6.893296891E+01,11600000000.0,-3.362837812E+01,-1.713212978E+02,11620000000.0,-3.430866100E+01,-4.831406486E+01,11640000000.0,-3.502775498E+01,7.439827328E+01,11660000000.0,-3.519803545E+01,-1.601745316E+02,11680000000.0,-3.576424848E+01,-3.297770885E+01,11700000000.0,"-3.596265392E+01
","8.951275382E+01
"
2,11500000000.0,-3.469681772E+01,-4.670199124E+01,11520000000.0,-3.406432348E+01,7.501918972E+01,11540000000.0,-3.326609683E+01,-1.624933756E+02,11560000000.0,-3.302066115E+01,-4.288437964E+01,11580000000.0,-3.253501613E+01,7.340326020E+01,11600000000.0,-3.283501461E+01,-1.655215561E+02,11620000000.0,-3.354228236E+01,-4.357148039E+01,11640000000.0,-3.431892765E+01,8.055679023E+01,11660000000.0,-3.457328302E+01,-1.537633337E+02,11680000000.0,-3.472018289E+01,-2.937386008E+01,11700000000.0,"-3.493059545E+01
","9.609035680E+01
"
3,11500000000.0,-3.419131911E+01,-5.756933267E+01,11520000000.0,-3.361738092E+01,6.678766286E+01,11540000000.0,-3.294582100E+01,-1.748070429E+02,11560000000.0,-3.259301445E+01,-5.348484467E+01,11580000000.0,-3.220024989E+01,6.311346419E+01,11600000000.0,-3.253289508E+01,-1.749957784E+02,11620000000.0,-3.297876767E+01,-5.485640593E+01,11640000000.0,-3.341648765E+01,7.149620831E+01,11660000000.0,-3.375609093E+01,-1.645002210E+02,11680000000.0,-3.409259413E+01,-3.960339726E+01,11700000000.0,"-3.435430275E+01
","8.504722331E+01
"
4,11500000000.0,-3.552967523E+01,-6.827798848E+01,11520000000.0,-3.501592804E+01,5.539771672E+01,11540000000.0,-3.406644557E+01,1.794576444E+02,11560000000.0,-3.374594851E+01,-6.335477919E+01,11580000000.0,-3.335405315E+01,5.640019069E+01,11600000000.0,-3.351390472E+01,1.754624059E+02,11620000000.0,-3.419781392E+01,-6.322367386E+01,11640000000.0,-3.474929215E+01,6.034421321E+01,11660000000.0,-3.502087604E+01,-1.734580656E+02,11680000000.0,-3.502578842E+01,-4.863056351E+01,11700000000.0,"-3.559333998E+01
","7.180761406E+01
"
5,11500000000.0,-3.629038387E+01,-6.140752126E+01,11520000000.0,-3.616634965E+01,6.136760255E+01,11540000000.0,-3.508310696E+01,-1.756374520E+02,11560000000.0,-3.459440843E+01,-5.735076213E+01,11580000000.0,-3.444310939E+01,6.062918391E+01,11600000000.0,-3.485959956E+01,1.749589328E+02,11620000000.0,-3.553783349E+01,-6.075649358E+01,11640000000.0,-3.580659509E+01,6.477113364E+01,11660000000.0,-3.592085256E+01,-1.678297179E+02,11680000000.0,-3.616851930E+01,-4.381331117E+01,11700000000.0,"-3.615319270E+01
","8.166318588E+01
"
6,11500000000.0,-3.587013237E+01,-4.204624207E+01,11520000000.0,-3.502656410E+01,7.937694185E+01,11540000000.0,-3.413377089E+01,-1.599616389E+02,11560000000.0,-3.337985776E+01,-3.900395398E+01,11580000000.0,-3.311605794E+01,7.893304116E+01,11600000000.0,-3.359144036E+01,-1.622291988E+02,11620000000.0,-3.432714284E+01,-3.922638086E+01,11640000000.0,-3.477402397E+01,8.624519406E+01,11660000000.0,-3.519759909E+01,-1.491922177E+02,11680000000.0,-3.555347136E+01,-2.328790468E+01,11700000000.0,"-3.559413638E+01
","9.939784363E+01
"
7,11500000000.0,-6.589949928E+01,-4.780146883E+01,11520000000.0,-7.148822989E+01,7.546071908E+01,11540000000.0,-6.579141334E+01,-1.638189583E+02,11560000000.0,-6.661689160E+01,-4.271402029E+01,11580000000.0,-6.320517056E+01,7.286744628E+01,11600000000.0,-6.457693595E+01,-1.676577487E+02,11620000000.0,-6.020175536E+01,-4.462472643E+01,11640000000.0,-6.029680169E+01,7.876113964E+01,11660000000.0,-6.603725384E+01,-1.559377914E+02,11680000000.0,-6.207526766E+01,-2.890576559E+01,11700000000.0,"-7.372565613E+01
","9.496195430E+01
"
8,11500000000.0,-3.520863893E+01,-6.177194345E+01,11520000000.0,-3.457310711E+01,6.105284444E+01,11540000000.0,-3.414063219E+01,-1.775530281E+02,11560000000.0,-3.341460284E+01,-5.762430529E+01,11580000000.0,-3.295431473E+01,6.236194194E+01,11600000000.0,-3.367155653E+01,-1.781144705E+02,11620000000.0,-3.401341060E+01,-5.673810799E+01,11640000000.0,-3.463232833E+01,6.990810937E+01,11660000000.0,-3.482937795E+01,-1.626648163E+02,11680000000.0,-3.506979464E+01,-3.623737376E+01,11700000000.0,"-3.526935719E+01
","8.957655221E+01
"
9,11500000000.0,-3.521876846E+01,-5.681214387E+01,11520000000.0,-3.464336135E+01,6.500027589E+01,11540000000.0,-3.392297397E+01,-1.729769828E+02,11560000000.0,-3.325425927E+01,-5.224373740E+01,11580000000.0,-3.325204075E+01,6.559706271E+01,11600000000.0,-3.372042938E+01,-1.782682527E+02,11620000000.0,-3.454534512E+01,-5.736708341E+01,11640000000.0,-3.508261016E+01,6.889593302E+01,11660000000.0,-3.570038144E+01,-1.662063197E+02,11680000000.0,-3.545029666E+01,-3.837969335E+01,11700000000.0,"-3.538428211E+01
","8.494023431E+01
"
