,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-7.293920665E+01,-9.294691463E+01,11520000000.0,-6.171020648E+01,1.715171437E+01,11540000000.0,-6.050942524E+01,1.472773990E+02,11560000000.0,-6.035104847E+01,-1.621843410E+02,11580000000.0,-6.229673763E+01,2.080180083E+01,11600000000.0,-6.375414614E+01,1.442758434E+02,11620000000.0,-7.191666711E+01,-1.763983081E+02,11640000000.0,-5.995386541E+01,-1.510313865E+01,11660000000.0,-6.148918312E+01,7.558966233E+01,11680000000.0,-6.434279637E+01,-1.270756641E+02,11700000000.0,"-5.974577400E+01
","-1.567969328E+01
"
1,11500000000.0,-6.512341147E+01,-7.672592428E+01,11520000000.0,-7.643767738E+01,6.188562695E+01,11540000000.0,-6.685427449E+01,1.453299863E+02,11560000000.0,-6.569643005E+01,-5.703352847E+01,11580000000.0,-5.929634927E+01,5.091230106E+00,11600000000.0,-6.124008750E+01,-1.589853954E+02,11620000000.0,-6.486343416E+01,-5.085628488E+01,11640000000.0,-6.846642417E+01,5.153958277E+01,11660000000.0,-6.317899889E+01,1.422434972E+02,11680000000.0,-6.275924067E+01,-1.119011185E+02,11700000000.0,"-5.921039303E+01
","-1.550459863E+02
"
2,11500000000.0,-7.025877065E+01,1.505456047E+01,11520000000.0,-6.941253059E+01,-1.043143740E+02,11540000000.0,-6.962474574E+01,8.849983095E+01,11560000000.0,-6.914017386E+01,-1.401759090E+01,11580000000.0,-6.055167688E+01,1.178367315E+02,11600000000.0,-6.404056706E+01,-5.305827022E+01,11620000000.0,-6.544399087E+01,9.134888685E+01,11640000000.0,-6.066367735E+01,-1.476620379E+02,11660000000.0,-6.000987852E+01,-6.803876597E+01,11680000000.0,-8.553384108E+01,3.150660868E+01,11700000000.0,"-6.779692015E+01
","1.690962038E+02
"
3,11500000000.0,-6.895603856E+01,-6.406755880E+01,11520000000.0,-6.588995950E+01,9.918229567E+01,11540000000.0,-5.971334638E+01,-1.262381202E+02,11560000000.0,-7.315472111E+01,-4.323849371E+01,11580000000.0,-7.850857493E+01,1.511459557E+02,11600000000.0,-6.000217901E+01,1.710261100E+02,11620000000.0,-6.812090615E+01,-9.476351609E+01,11640000000.0,-6.307422862E+01,-1.838345863E+01,11660000000.0,-6.799136074E+01,-1.459517335E+02,11680000000.0,-6.512117815E+01,-1.481545251E+02,11700000000.0,"-6.229654882E+01
","4.308607178E+01
"
4,11500000000.0,-6.957207920E+01,3.989277049E+01,11520000000.0,-6.400317039E+01,-1.317916030E+02,11540000000.0,-6.185484514E+01,-4.344743743E+01,11560000000.0,-7.294785399E+01,1.056344827E+02,11580000000.0,-6.150603914E+01,-4.107747066E+01,11600000000.0,-6.334875771E+01,1.284375228E+01,11620000000.0,-5.810457621E+01,1.339470911E+02,11640000000.0,-6.216284905E+01,-1.355476819E+02,11660000000.0,-6.527128935E+01,-5.056159924E+01,11680000000.0,-7.399718048E+01,1.663356238E+02,11700000000.0,"-6.620334740E+01
","-1.503345119E+02
"
5,11500000000.0,-6.950826407E+01,-1.217423228E+02,11520000000.0,-6.467996826E+01,2.781151718E+01,11540000000.0,-5.959731636E+01,1.757690183E+02,11560000000.0,-6.012916579E+01,-7.780704455E+01,11580000000.0,-5.973174478E+01,5.681474509E+01,11600000000.0,-6.268405549E+01,1.539763459E+02,11620000000.0,-6.152106338E+01,-9.552268787E+01,11640000000.0,-6.335515219E+01,1.972698870E+01,11660000000.0,-5.789206738E+01,1.216950218E+02,11680000000.0,-6.642676216E+01,5.495483660E+01,11700000000.0,"-6.096027880E+01
","3.768682055E+01
"
6,11500000000.0,-6.567715670E+01,1.055401515E+02,11520000000.0,-6.163302329E+01,-1.198552710E+02,11540000000.0,-6.023598132E+01,-4.775618405E+01,11560000000.0,-5.654198952E+01,5.686268100E+01,11580000000.0,-5.419748736E+01,1.702199782E+02,11600000000.0,-5.947536801E+01,-3.473407406E+01,11620000000.0,-5.778114838E+01,6.468097199E+01,11640000000.0,-5.934559495E+01,-1.672922783E+02,11660000000.0,-6.517976816E+01,-3.029920056E+01,11680000000.0,-6.381100385E+01,7.290586846E+01,11700000000.0,"-6.462769286E+01
","1.626385977E+02
"
7,11500000000.0,-6.456848111E+01,-1.491698337E+02,11520000000.0,-5.879357825E+01,-2.961337546E+01,11540000000.0,-6.767110729E+01,6.081966558E+01,11560000000.0,-5.652544142E+01,1.500832223E+02,11580000000.0,-5.513517632E+01,-8.447261591E+01,11600000000.0,-6.051474298E+01,5.372512866E+01,11620000000.0,-5.883765731E+01,1.671266014E+02,11640000000.0,-5.849401318E+01,-9.170832857E+01,11660000000.0,-6.049391854E+01,5.983572441E+01,11680000000.0,-5.633900111E+01,1.582568949E+02,11700000000.0,"-5.925609401E+01
","-8.002605445E+01
"
8,11500000000.0,-6.377086296E+01,-5.917650547E+01,11520000000.0,-5.839942723E+01,5.610278484E+01,11540000000.0,-5.860359383E+01,-1.577647556E+02,11560000000.0,-5.600601994E+01,-5.407962227E+01,11580000000.0,-5.754267930E+01,6.767596039E+01,11600000000.0,-5.773359328E+01,-1.497256506E+02,11620000000.0,-7.087477646E+01,-3.897116416E+01,11640000000.0,-7.433536038E+01,1.429284830E+02,11660000000.0,-6.233490142E+01,1.495032976E+02,11680000000.0,-6.529458495E+01,-1.109254771E+02,11700000000.0,"-6.490945553E+01
","1.041515516E+02
"
9,11500000000.0,-6.095753070E+01,5.540965908E+01,11520000000.0,-6.379997406E+01,-1.177101274E+02,11540000000.0,-6.412605858E+01,3.480350330E-01,11560000000.0,-5.923727957E+01,6.417057782E+01,11580000000.0,-6.035699862E+01,1.678633779E+02,11600000000.0,-7.178504540E+01,-1.467921739E+01,11620000000.0,-6.583040353E+01,1.013622240E+02,11640000000.0,-6.271415270E+01,-1.751017759E+02,11660000000.0,-6.792853308E+01,-3.231382637E+01,11680000000.0,-6.048354915E+01,1.604638039E+02,11700000000.0,"-6.903276829E+01
","1.594665159E+02
"
10,11500000000.0,-6.150171535E+01,-1.722388227E+02,11520000000.0,-7.109702139E+01,-3.810309013E+01,11540000000.0,-7.404371216E+01,5.687153768E+01,11560000000.0,-6.938557113E+01,9.324916689E+01,11580000000.0,-9.367475915E+01,-2.361600033E+01,11600000000.0,-6.596898635E+01,-4.915902274E+01,11620000000.0,-6.668474580E+01,-1.093343751E+02,11640000000.0,-7.311985172E+01,-1.356237058E+00,11660000000.0,-6.414386913E+01,1.534290428E+02,11680000000.0,-6.156136027E+01,1.667703924E+02,11700000000.0,"-7.556927541E+01
","-1.229791910E+02
"
11,11500000000.0,-6.640841935E+01,-7.056944913E+01,11520000000.0,-7.533231896E+01,4.155958771E+01,11540000000.0,-5.816688850E+01,1.663393747E+02,11560000000.0,-6.267029633E+01,4.558873490E+00,11580000000.0,-6.741986543E+01,9.876748706E+01,11600000000.0,-6.928578437E+01,-1.337723678E+02,11620000000.0,-6.598772239E+01,-2.987462719E+01,11640000000.0,-6.655363868E+01,1.567969032E+02,11660000000.0,-6.244636860E+01,5.587135259E+01,11680000000.0,-6.021903682E+01,1.564675314E+02,11700000000.0,"-6.717146202E+01
","-6.405150813E+01
"
12,11500000000.0,-6.806409119E+01,7.312895711E+01,11520000000.0,-6.031271564E+01,1.689108120E+02,11540000000.0,-6.124728575E+01,-4.144604823E+01,11560000000.0,-6.012927526E+01,-1.309326623E+01,11580000000.0,-5.972242686E+01,1.787083777E+02,11600000000.0,-6.971142518E+01,-1.566132084E+02,11620000000.0,-7.342517160E+01,4.483868958E+01,11640000000.0,-8.827137126E+01,3.553736375E+01,11660000000.0,-6.271459870E+01,-1.381791770E+02,11680000000.0,-7.196119767E+01,1.770089973E+02,11700000000.0,"-6.117519200E+01
","8.389488290E+01
"
