,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-6.588169534E+01,-3.154356354E+01,11520000000.0,-6.370911918E+01,9.684502997E+01,11540000000.0,-6.150150446E+01,-1.425166043E+02,11560000000.0,-6.809164156E+01,-1.929908651E+01,11580000000.0,-6.284380616E+01,1.008928924E+02,11600000000.0,-6.196638842E+01,-1.388168953E+02,11620000000.0,-8.126332187E+01,-1.946466098E+01,11640000000.0,-8.005989352E+01,1.027667869E+02,11660000000.0,-7.012360733E+01,-1.295846910E+02,11680000000.0,-6.338496542E+01,-3.608754620E+00,11700000000.0,"-6.827970771E+01
","1.200102947E+02
"
1,11500000000.0,-6.184308839E+01,-1.068579211E+01,11520000000.0,-6.087317879E+01,1.099308315E+02,11540000000.0,-6.759698962E+01,-1.272311234E+02,11560000000.0,-6.701967856E+01,-5.194217835E+00,11580000000.0,-7.286938542E+01,1.093126473E+02,11600000000.0,-7.306844052E+01,-1.307086578E+02,11620000000.0,-6.587290094E+01,-9.358089795E+00,11640000000.0,-7.131370887E+01,1.177357011E+02,11660000000.0,-6.865506718E+01,-1.181012351E+02,11680000000.0,-7.553141995E+01,7.242103557E+00,11700000000.0,"-6.722058995E+01
","1.375558503E+02
"
2,11500000000.0,-7.382365766E+01,-2.264603649E+01,11520000000.0,-7.124680824E+01,1.052966959E+02,11540000000.0,-7.704111521E+01,-1.367274341E+02,11560000000.0,-6.282039838E+01,-1.333708254E+01,11580000000.0,-6.096930132E+01,1.049520920E+02,11600000000.0,-6.492862498E+01,-1.369802760E+02,11620000000.0,-7.499295305E+01,-1.222217236E+01,11640000000.0,-6.670398524E+01,1.128112575E+02,11660000000.0,-6.612257396E+01,-1.195065490E+02,11680000000.0,-6.548826687E+01,5.924593097E+00,11700000000.0,"-6.259326971E+01
","1.315456857E+02
"
3,11500000000.0,-6.035971068E+01,-2.792193093E+01,11520000000.0,-6.915365284E+01,9.214797937E+01,11540000000.0,-6.739783241E+01,-1.448089630E+02,11560000000.0,-6.778940709E+01,-2.534493531E+01,11580000000.0,-6.026785385E+01,9.373532635E+01,11600000000.0,-6.356771033E+01,-1.453919223E+02,11620000000.0,-6.588442841E+01,-2.262404488E+01,11640000000.0,-6.523362437E+01,1.015448710E+02,11660000000.0,-6.881750335E+01,-1.303593295E+02,11680000000.0,-5.906437568E+01,-7.009690179E+00,11700000000.0,"-6.286436781E+01
","1.188991848E+02
"
4,11500000000.0,-6.718292624E+01,-2.912737814E+01,11520000000.0,-6.865681542E+01,9.459877476E+01,11540000000.0,-7.622667400E+01,-1.442465351E+02,11560000000.0,-6.133260609E+01,-2.331984802E+01,11580000000.0,-6.823829425E+01,9.664938146E+01,11600000000.0,-7.103158147E+01,-1.442430822E+02,11620000000.0,-6.831930562E+01,-1.920611125E+01,11640000000.0,-7.267803907E+01,1.058708793E+02,11660000000.0,-6.082882678E+01,-1.286352843E+02,11680000000.0,-9.021474900E+01,-2.453843806E+00,11700000000.0,"-6.419556877E+01
","1.196782917E+02
"
5,11500000000.0,-6.731597067E+01,-3.504701521E+01,11520000000.0,-6.389718843E+01,8.802858153E+01,11540000000.0,-7.509656323E+01,-1.488400533E+02,11560000000.0,-7.277442227E+01,-2.991546171E+01,11580000000.0,-6.754239987E+01,9.012442126E+01,11600000000.0,-8.529056919E+01,-1.511230664E+02,11620000000.0,-6.761160811E+01,-2.951271713E+01,11640000000.0,-6.408200318E+01,9.908230861E+01,11660000000.0,-6.169383374E+01,-1.359450047E+02,11680000000.0,-7.403319424E+01,-1.004993057E+01,11700000000.0,"-6.538603913E+01
","1.139538639E+02
"
6,11500000000.0,-6.793881263E+01,-3.037351332E+01,11520000000.0,-7.137006274E+01,9.128418308E+01,11540000000.0,-6.667217589E+01,-1.489166888E+02,11560000000.0,-8.014130689E+01,-2.711414741E+01,11580000000.0,-6.093716183E+01,9.262018823E+01,11600000000.0,-6.668732757E+01,-1.475514659E+02,11620000000.0,-6.663231595E+01,-2.139920285E+01,11640000000.0,-6.955551952E+01,1.045638994E+02,11660000000.0,-7.117431915E+01,-1.292355766E+02,11680000000.0,-6.979971592E+01,-5.151673412E+00,11700000000.0,"-6.284144074E+01
","1.211361922E+02
"
7,11500000000.0,-7.396890239E+01,-2.021764926E+01,11520000000.0,-6.267769050E+01,9.843982126E+01,11540000000.0,-6.499512178E+01,-1.392063282E+02,11560000000.0,-6.596808985E+01,-1.878035334E+01,11580000000.0,-6.780935677E+01,1.010961968E+02,11600000000.0,-6.138139480E+01,-1.393092529E+02,11620000000.0,-6.019751258E+01,-1.617959151E+01,11640000000.0,-6.529120761E+01,1.101496903E+02,11660000000.0,-6.423383170E+01,-1.242102776E+02,11680000000.0,-6.446505457E+01,-1.148546984E+00,11700000000.0,"-5.867186763E+01
","1.256842838E+02
"
8,11500000000.0,-7.132388887E+01,-1.652694596E+01,11520000000.0,-7.159565052E+01,1.070854050E+02,11540000000.0,-7.791092444E+01,-1.343861247E+02,11560000000.0,-6.701841240E+01,-1.571562957E+01,11580000000.0,-6.659934387E+01,1.055436645E+02,11600000000.0,-6.848339871E+01,-1.350318585E+02,11620000000.0,-7.148987262E+01,-1.064170414E+01,11640000000.0,-6.044059950E+01,1.158771512E+02,11660000000.0,-6.350562948E+01,-1.143346937E+02,11680000000.0,-6.731699482E+01,1.109151763E+01,11700000000.0,"-6.629042982E+01
","1.392031865E+02
"
9,11500000000.0,-6.611698301E+01,-1.580354530E+01,11520000000.0,-6.912154314E+01,1.091481817E+02,11540000000.0,-6.643006984E+01,-1.296559672E+02,11560000000.0,-7.235974939E+01,-9.256120632E+00,11580000000.0,-6.810872202E+01,1.095739587E+02,11600000000.0,-7.498631592E+01,-1.314127349E+02,11620000000.0,-7.273299043E+01,-7.376458198E+00,11640000000.0,-7.020554014E+01,1.196213948E+02,11660000000.0,-6.245891956E+01,-1.156112383E+02,11680000000.0,-6.852715296E+01,1.663259625E+01,11700000000.0,"-6.226946621E+01
","1.375669209E+02
"
