,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.877673955E+01,-7.363791931E+01,11520000000.0,-3.861036102E+01,4.947514187E+01,11540000000.0,-3.802386648E+01,1.689437393E+02,11560000000.0,-3.778109598E+01,-7.257980789E+01,11580000000.0,-3.779799847E+01,4.628207073E+01,11600000000.0,-3.839810545E+01,1.635480233E+02,11620000000.0,-3.958159358E+01,-7.252268440E+01,11640000000.0,-3.984774986E+01,4.962301575E+01,11660000000.0,-4.030494835E+01,1.754594311E+02,11680000000.0,-4.002607695E+01,-5.210203725E+01,11700000000.0,"-4.047089043E+01
","7.203124654E+01
"
1,11500000000.0,-3.656448110E+01,-6.450866865E+01,11520000000.0,-3.562876329E+01,5.758151465E+01,11540000000.0,-3.532722524E+01,1.787927115E+02,11560000000.0,-3.482561211E+01,-6.167554994E+01,11580000000.0,-3.465968004E+01,5.704650696E+01,11600000000.0,-3.482210159E+01,1.739852359E+02,11620000000.0,-3.598219495E+01,-6.171491519E+01,11640000000.0,-3.640881324E+01,6.293586585E+01,11660000000.0,-3.697495397E+01,-1.703389866E+02,11680000000.0,-3.694721429E+01,-4.503543615E+01,11700000000.0,"-3.742853185E+01
","8.297787757E+01
"
2,11500000000.0,-3.479407280E+01,-6.860193034E+01,11520000000.0,-3.456255537E+01,5.362013556E+01,11540000000.0,-3.370052387E+01,1.731901341E+02,11560000000.0,-3.316582331E+01,-6.750445943E+01,11580000000.0,-3.363069707E+01,4.996091491E+01,11600000000.0,-3.380653387E+01,1.685260009E+02,11620000000.0,-3.455666884E+01,-6.854149153E+01,11640000000.0,-3.548210542E+01,5.734203763E+01,11660000000.0,-3.595298385E+01,-1.736062229E+02,11680000000.0,-3.578034734E+01,-5.161636479E+01,11700000000.0,"-3.665083656E+01
","7.572103997E+01
"
3,11500000000.0,-3.328619952E+01,-7.727121698E+01,11520000000.0,-3.272422550E+01,4.501154620E+01,11540000000.0,-3.213635371E+01,1.649206177E+02,11560000000.0,-3.161022591E+01,-7.781067697E+01,11580000000.0,-3.157507318E+01,4.058536225E+01,11600000000.0,-3.230927456E+01,1.607933072E+02,11620000000.0,-3.326141154E+01,-7.557001933E+01,11640000000.0,-3.352310715E+01,4.998516964E+01,11660000000.0,-3.355957736E+01,1.757374686E+02,11680000000.0,-3.376905231E+01,-5.708657164E+01,11700000000.0,"-3.430764180E+01
","6.800828760E+01
"
4,11500000000.0,-3.451207823E+01,-7.745107201E+01,11520000000.0,-3.398680789E+01,4.484198331E+01,11540000000.0,-3.330294313E+01,1.653518352E+02,11560000000.0,-3.305816707E+01,-7.479194666E+01,11580000000.0,-3.289476596E+01,4.283995847E+01,11600000000.0,-3.342388615E+01,1.632028729E+02,11620000000.0,-3.425015434E+01,-7.489945491E+01,11640000000.0,-3.504445717E+01,5.011133342E+01,11660000000.0,-3.560208763E+01,1.760161743E+02,11680000000.0,-3.552292339E+01,-5.832816555E+01,11700000000.0,"-3.630205471E+01
","6.351166895E+01
"
5,11500000000.0,-3.626088247E+01,-7.411756577E+01,11520000000.0,-3.562662212E+01,4.758964174E+01,11540000000.0,-3.505990724E+01,1.666436271E+02,11560000000.0,-3.471988729E+01,-7.372815450E+01,11580000000.0,-3.446061169E+01,4.388266920E+01,11600000000.0,-3.549777405E+01,1.605519676E+02,11620000000.0,-3.585539656E+01,-7.507330196E+01,11640000000.0,-3.654738260E+01,5.175550010E+01,11660000000.0,-3.690343656E+01,1.770298663E+02,11680000000.0,-3.733190180E+01,-5.558677841E+01,11700000000.0,"-3.734573893E+01
","7.179272572E+01
"
6,11500000000.0,-3.502451939E+01,-6.235125028E+01,11520000000.0,-3.431515497E+01,5.860448787E+01,11540000000.0,-3.353009570E+01,1.789202130E+02,11560000000.0,-3.306335767E+01,-6.213510306E+01,11580000000.0,-3.314047576E+01,5.726576058E+01,11600000000.0,-3.351593986E+01,1.760682304E+02,11620000000.0,-3.469071009E+01,-5.926459674E+01,11640000000.0,-3.515097295E+01,6.661598648E+01,11660000000.0,-3.544089892E+01,-1.672866471E+02,11680000000.0,-3.553944480E+01,-4.415547974E+01,11700000000.0,"-3.607355055E+01
","8.255662289E+01
"
7,11500000000.0,-3.491372077E+01,-6.612205329E+01,11520000000.0,-3.421079352E+01,5.578411134E+01,11540000000.0,-3.402771799E+01,1.780927122E+02,11560000000.0,-3.372065588E+01,-6.564716358E+01,11580000000.0,-3.408036874E+01,5.281063539E+01,11600000000.0,-3.439789997E+01,1.709882563E+02,11620000000.0,-3.494480280E+01,-6.724975751E+01,11640000000.0,-3.532922741E+01,6.036998077E+01,11660000000.0,-3.575415583E+01,-1.737396423E+02,11680000000.0,-3.593782356E+01,-4.869448500E+01,11700000000.0,"-3.585356919E+01
","7.916763109E+01
"
8,11500000000.0,-3.615987524E+01,-6.835215036E+01,11520000000.0,-3.537364857E+01,5.268994455E+01,11540000000.0,-3.461094725E+01,1.721508147E+02,11560000000.0,-3.405538802E+01,-6.806265861E+01,11580000000.0,-3.393795226E+01,5.127948199E+01,11600000000.0,-3.466019613E+01,1.721067748E+02,11620000000.0,-3.543993436E+01,-6.347624433E+01,11640000000.0,-3.596674950E+01,6.509944125E+01,11660000000.0,-3.619888853E+01,-1.679453992E+02,11680000000.0,-3.626782012E+01,-4.002220255E+01,11700000000.0,"-3.636367477E+01
","8.433752616E+01
"
9,11500000000.0,-3.529657818E+01,-5.186437479E+01,11520000000.0,-3.439828728E+01,6.947969543E+01,11540000000.0,-3.371922752E+01,-1.704018255E+02,11560000000.0,-3.355207006E+01,-5.329606163E+01,11580000000.0,-3.378427246E+01,6.717671698E+01,11600000000.0,-3.413764738E+01,-1.746822821E+02,11620000000.0,-3.511407283E+01,-5.339874622E+01,11640000000.0,-3.565270764E+01,7.352342922E+01,11660000000.0,-3.653556989E+01,-1.593924501E+02,11680000000.0,-3.641337525E+01,-3.200279109E+01,11700000000.0,"-3.622753944E+01
","9.185447106E+01
"
