,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-7.487594632E+01,9.910165783E+01,11520000000.0,-7.617657773E+01,1.327354379E+02,11540000000.0,-6.695163047E+01,1.488663602E+02,11560000000.0,-6.213462746E+01,-1.106220465E+02,11580000000.0,-6.712968273E+01,8.552959003E+01,11600000000.0,-7.013070775E+01,8.966373753E+01,11620000000.0,-6.038151503E+01,7.969701148E+01,11640000000.0,-6.806910923E+01,-3.728647309E+01,11660000000.0,-6.459847763E+01,1.241569867E+02,11680000000.0,-6.524612867E+01,-1.037854057E+02,11700000000.0,"-6.491447478E+01
","-1.844681664E+01
"
1,11500000000.0,-7.038414217E+01,7.584265175E+01,11520000000.0,-6.501474845E+01,-1.299914474E+02,11540000000.0,-6.462067938E+01,1.520027532E+02,11560000000.0,-7.982590348E+01,-7.891341764E+01,11580000000.0,-6.986174057E+01,1.574495721E+02,11600000000.0,-6.714574555E+01,-1.499699046E+02,11620000000.0,-6.934560020E+01,-4.236271150E+01,11640000000.0,-6.466909547E+01,-1.639326260E+02,11660000000.0,-7.270628888E+01,1.285257333E+02,11680000000.0,-5.938839326E+01,-4.635934303E+01,11700000000.0,"-6.445618934E+01
","6.505349781E+01
"
2,11500000000.0,-8.092541008E+01,1.741481755E+02,11520000000.0,-6.297236651E+01,-4.287244378E+01,11540000000.0,-6.520517630E+01,6.269113854E+01,11560000000.0,-6.665006791E+01,-1.070507758E+02,11580000000.0,-6.147775425E+01,1.758005074E+02,11600000000.0,-7.762055235E+01,-4.859448162E+01,11620000000.0,-6.719062435E+01,1.259646270E+02,11640000000.0,-6.101180443E+01,-1.633010416E+02,11660000000.0,-6.593372435E+01,-3.301676596E+01,11680000000.0,-7.072674373E+01,-1.428237598E+02,11700000000.0,"-6.684851767E+01
","-5.890928968E+01
"
3,11500000000.0,-6.771059570E+01,5.810351160E+01,11520000000.0,-6.913683717E+01,5.570402137E+01,11540000000.0,-6.250269018E+01,-1.487686395E+02,11560000000.0,-6.692014973E+01,-7.775075356E+01,11580000000.0,-7.025645966E+01,4.928568361E+01,11600000000.0,-6.370379790E+01,1.309836464E+02,11620000000.0,-6.810667662E+01,1.587714871E+02,11640000000.0,-7.615880939E+01,4.161366215E+01,11660000000.0,-6.422854682E+01,1.120764078E+02,11680000000.0,-6.679105542E+01,-1.121012264E+02,11700000000.0,"-6.318708804E+01
","-1.442692390E+02
"
4,11500000000.0,-6.256453349E+01,1.450238793E+02,11520000000.0,-8.046510776E+01,-5.554993877E+01,11540000000.0,-6.980883674E+01,4.415219334E+01,11560000000.0,-6.210875884E+01,1.731776109E+02,11580000000.0,-6.576043425E+01,-6.225321295E+01,11600000000.0,-5.948748480E+01,2.606021203E+01,11620000000.0,-6.486154298E+01,1.628269811E+02,11640000000.0,-6.509019885E+01,-7.987920797E+01,11660000000.0,-6.773971729E+01,8.401239933E+00,11680000000.0,-8.303841008E+01,8.953755027E+01,11700000000.0,"-8.330119031E+01
","5.335203225E+01
"
5,11500000000.0,-6.269551907E+01,-6.301022156E+00,11520000000.0,-6.428699421E+01,2.148543924E+01,11540000000.0,-6.220682549E+01,1.135292995E+01,11560000000.0,-6.339477490E+01,-5.277129570E+01,11580000000.0,-6.600746349E+01,-7.624230759E+01,11600000000.0,-7.002661552E+01,1.434468818E+02,11620000000.0,-6.313358659E+01,-1.417116852E+02,11640000000.0,-7.169143296E+01,4.244849194E+01,11660000000.0,-7.569799061E+01,6.483396629E+01,11680000000.0,-6.343019347E+01,-2.629186635E+00,11700000000.0,"-6.045151345E+01
","2.214101373E+01
"
6,11500000000.0,-7.490493350E+01,-1.294705375E+02,11520000000.0,-6.149586782E+01,5.676307940E+01,11540000000.0,-6.393145543E+01,-4.480925748E+01,11560000000.0,-6.253694236E+01,5.642842612E+01,11580000000.0,-6.253197074E+01,1.479518689E+02,11600000000.0,-6.058935125E+01,-3.611188231E+01,11620000000.0,-6.440586213E+01,-1.387195301E+02,11640000000.0,-6.033786567E+01,-1.254478562E+02,11660000000.0,-6.553505048E+01,-2.565916547E+01,11680000000.0,-6.459832440E+01,-5.345623352E+01,11700000000.0,"-6.444475842E+01
","5.215977367E+01
"
7,11500000000.0,-7.618567542E+01,8.858630399E+01,11520000000.0,-7.094725221E+01,1.498690185E+02,11540000000.0,-6.527887154E+01,-1.016673757E+02,11560000000.0,-6.285481242E+01,-1.670809057E+02,11580000000.0,-6.524194398E+01,1.670848441E+02,11600000000.0,-6.885948700E+01,1.298908093E+02,11620000000.0,-7.029080941E+01,-1.650492939E+02,11640000000.0,-6.420203152E+01,-1.412977204E+02,11660000000.0,-7.993627714E+01,1.202759900E+02,11680000000.0,-6.482403599E+01,-1.366872339E+02,11700000000.0,"-6.636195728E+01
","2.365077853E+01
"
8,11500000000.0,-6.814591982E+01,-5.011549685E+01,11520000000.0,-6.778630032E+01,1.746422889E+02,11540000000.0,-7.325435480E+01,-5.600013597E+01,11560000000.0,-6.094868877E+01,-2.944658323E+01,11580000000.0,-6.676738611E+01,1.346990264E+02,11600000000.0,-6.557714260E+01,-1.634089618E+02,11620000000.0,-6.341148470E+01,-1.501919563E+02,11640000000.0,-6.536154161E+01,7.258278793E+01,11660000000.0,-6.952800662E+01,-1.713507305E+00,11680000000.0,-7.387570583E+01,4.259930927E+01,11700000000.0,"-6.119956328E+01
","1.255813731E+02
"
9,11500000000.0,-6.156107023E+01,5.226604255E+01,11520000000.0,-6.395644934E+01,-1.100231922E+02,11540000000.0,-7.533591841E+01,3.084878570E+01,11560000000.0,-7.164774906E+01,1.287863756E+02,11580000000.0,-7.007120914E+01,-1.428040961E+02,11600000000.0,-6.438660718E+01,-5.613727542E+01,11620000000.0,-6.055218611E+01,9.891492422E+01,11640000000.0,-6.367378453E+01,-3.153449869E+01,11660000000.0,-6.087806932E+01,4.037812658E+01,11680000000.0,-8.606474860E+01,-1.412141078E+02,11700000000.0,"-6.919454375E+01
","-2.593289992E+00
"
