,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.786670997E+01,-1.191168821E+02,11520000000.0,-3.766087482E+01,1.016672150E+00,11540000000.0,-3.804365676E+01,1.209912872E+02,11560000000.0,-3.801546340E+01,-1.213435969E+02,11580000000.0,-3.866845215E+01,-7.586577719E-01,11600000000.0,-3.924858933E+01,1.192352272E+02,11620000000.0,-4.057265331E+01,-1.158319417E+02,11640000000.0,-4.051010897E+01,9.785929955E+00,11660000000.0,-4.103313904E+01,1.399915537E+02,11680000000.0,-4.098768159E+01,-9.642732029E+01,11700000000.0,"-4.127488004E+01
","3.216700219E+01
"
1,11500000000.0,-3.487806756E+01,-1.010223151E+02,11520000000.0,-3.423861614E+01,1.886451249E+01,11540000000.0,-3.374428415E+01,1.359301148E+02,11560000000.0,-3.362617669E+01,-1.062440688E+02,11580000000.0,-3.378535762E+01,1.252017055E+01,11600000000.0,-3.457975187E+01,1.320324086E+02,11620000000.0,-3.576170129E+01,-1.031304978E+02,11640000000.0,-3.607787500E+01,2.239891598E+01,11660000000.0,-3.681028012E+01,1.493581823E+02,11680000000.0,-3.705256089E+01,-8.515264739E+01,11700000000.0,"-3.774796766E+01
","4.399957569E+01
"
2,11500000000.0,-3.324063617E+01,-1.008054121E+02,11520000000.0,-3.276580280E+01,1.958824195E+01,11540000000.0,-3.252163777E+01,1.374705349E+02,11560000000.0,-3.252223027E+01,-1.030484438E+02,11580000000.0,-3.274407262E+01,1.437911532E+01,11600000000.0,-3.357569311E+01,1.348661497E+02,11620000000.0,-3.442062118E+01,-1.028373676E+02,11640000000.0,-3.499623448E+01,2.357986201E+01,11660000000.0,-3.561786622E+01,1.515682326E+02,11680000000.0,-3.526646235E+01,-8.242034796E+01,11700000000.0,"-3.518468193E+01
","4.456743587E+01
"
3,11500000000.0,-3.220092697E+01,-1.141939270E+02,11520000000.0,-3.156983364E+01,4.862036587E+00,11540000000.0,-3.132032361E+01,1.238401699E+02,11560000000.0,-3.135733864E+01,-1.162770883E+02,11580000000.0,-3.156681882E+01,3.680543055E+00,11600000000.0,-3.242178958E+01,1.243027908E+02,11620000000.0,-3.320549865E+01,-1.114043056E+02,11640000000.0,-3.399158538E+01,1.596228402E+01,11660000000.0,-3.431244712E+01,1.440341171E+02,11680000000.0,-3.424230102E+01,-9.221989140E+01,11700000000.0,"-3.473661419E+01
","3.376077231E+01
"
4,11500000000.0,-3.262478971E+01,-1.193361802E+02,11520000000.0,-3.223979891E+01,1.675050782E+00,11540000000.0,-3.194740539E+01,1.224516782E+02,11560000000.0,-3.184018797E+01,-1.195174960E+02,11580000000.0,-3.214517308E+01,-1.006354171E+00,11600000000.0,-3.278223909E+01,1.174581844E+02,11620000000.0,-3.380072408E+01,-1.179567731E+02,11640000000.0,-3.426765675E+01,8.222009933E+00,11660000000.0,-3.469262303E+01,1.339924086E+02,11680000000.0,-3.461767731E+01,-1.016739107E+02,11700000000.0,"-3.537263400E+01
","2.368316039E+01
"
5,11500000000.0,-3.437109642E+01,-1.154222234E+02,11520000000.0,-3.380876757E+01,4.442403622E+00,11540000000.0,-3.362871165E+01,1.237993080E+02,11560000000.0,-3.328424532E+01,-1.171611088E+02,11580000000.0,-3.335002570E+01,1.951762785E+00,11600000000.0,-3.425709877E+01,1.229193677E+02,11620000000.0,-3.464534580E+01,-1.142649427E+02,11640000000.0,-3.526367155E+01,1.202536668E+01,11660000000.0,-3.539149827E+01,1.396457499E+02,11680000000.0,-3.566388855E+01,-9.324711670E+01,11700000000.0,"-3.650970199E+01
","3.197943848E+01
"
6,11500000000.0,-3.358937058E+01,-9.021607480E+01,11520000000.0,-3.294030837E+01,-3.205962545E+01,11540000000.0,-3.264697822E+01,-4.326607570E+01,11560000000.0,-3.248396676E+01,-4.212803152E+01,11580000000.0,-3.288015399E+01,-6.724655220E+01,11600000000.0,-3.329919157E+01,1.718278394E+02,11620000000.0,-3.430884250E+01,5.533659466E+01,11640000000.0,-3.489651520E+01,8.108255474E+01,11660000000.0,-3.550015802E+01,-6.874285199E+01,11680000000.0,-3.552614208E+01,8.074489205E+01,11700000000.0,"-3.589286316E+01
","-1.039953434E+02
"
7,11500000000.0,-3.346544330E+01,-1.046728365E+02,11520000000.0,-3.274956806E+01,1.543500042E+01,11540000000.0,-3.266355891E+01,1.345348905E+02,11560000000.0,-3.236451432E+01,-1.073365031E+02,11580000000.0,-3.284338479E+01,1.169817440E+01,11600000000.0,-3.317679001E+01,1.298824353E+02,11620000000.0,-3.401003712E+01,-1.055216723E+02,11640000000.0,-3.435873561E+01,2.043887142E+01,11660000000.0,-3.456916881E+01,1.444994520E+02,11680000000.0,-3.450452461E+01,-8.935849699E+01,11700000000.0,"-3.495423757E+01
","3.783924010E+01
"
8,11500000000.0,-3.358781737E+01,-1.133247367E+02,11520000000.0,-3.279960085E+01,5.082457050E+00,11540000000.0,-3.257418368E+01,1.254261904E+02,11560000000.0,-3.235958850E+01,-1.148494475E+02,11580000000.0,-3.277108905E+01,6.065741718E+00,11600000000.0,-3.340142858E+01,1.280209381E+02,11620000000.0,-3.375727233E+01,-1.081051387E+02,11640000000.0,-3.419107895E+01,1.744917023E+01,11660000000.0,-3.442755329E+01,1.452767702E+02,11680000000.0,-3.451348504E+01,-9.064006673E+01,11700000000.0,"-3.509314171E+01
","3.623183099E+01
"
9,11500000000.0,-3.333783990E+01,-1.068707465E+02,11520000000.0,-3.283243545E+01,1.058290093E+01,11540000000.0,-3.295350917E+01,1.316278593E+02,11560000000.0,-3.279451781E+01,-1.096004850E+02,11580000000.0,-3.310835675E+01,9.947011861E+00,11600000000.0,-3.378219080E+01,1.285695574E+02,11620000000.0,-3.447481134E+01,-1.081503566E+02,11640000000.0,-3.499174303E+01,1.603063446E+01,11660000000.0,-3.493829668E+01,1.438098152E+02,11680000000.0,-3.512538081E+01,-9.025575837E+01,11700000000.0,"-3.532422265E+01
","3.792710249E+01
"
